IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
Madison #1 ,1934,WYYNP,NA,NA,NA,NA,272,NA
Raven Creek ,1934,WYYNP,NA,NA,NA,NA,129,NA
Mirror Pl #2 ,1935,WYYNP,NA,NA,NA,NA,185,NA
Astringent Creek ,1939,WYYNP,NA,NA,NA,NA,1351,NA
Tower Falls ,1939,WYYNP,NA,NA,NA,NA,142,NA
Chipmunk Creek ,1940,WYYNP,NA,NA,NA,NA,1726,NA
Moose Cr #1 ,1940,WYYNP,NA,NA,NA,NA,2955,NA
Mtn Ash Creek ,1940,WYYNP,NA,NA,NA,NA,4354,NA
Ousel Falls #2 ,1940,WYYNP,NA,NA,NA,NA,1568,NA
Ranger Lake ,1940,WYYNP,NA,NA,NA,NA,10839,NA
Soda Butte #2 ,1940,WYYNP,NA,NA,NA,NA,387,NA
Spirea Creek ,1940,WYYNP,NA,NA,NA,NA,2248,NA
Grizzly Lake ,1942,WYYNP,NA,NA,NA,NA,155,NA
Witch Cr ,1942,WYYNP,NA,NA,NA,NA,682,NA
Duck Creek ,1943,WYYNP,NA,NA,NA,NA,352,NA
Lewis Lake Outle ,1943,WYYNP,NA,NA,NA,NA,394,NA
Lewis River ,1946,WYYNP,NA,NA,NA,NA,940,NA
Lava Creek ,1949,WYYNP,NA,NA,NA,NA,780,NA
Mirror Plateau ,1949,WYYNP,NA,NA,NA,NA,243,NA
N Summit Lake ,1949,WYYNP,NA,NA,NA,NA,368,NA
Specimen Creek ,1949,WYYNP,NA,NA,NA,NA,1468,NA
Chipmunk R ,1953,WYYNP,NA,NA,NA,NA,77,NA
White Lake ,1953,WYYNP,NA,NA,NA,NA,1486,NA
Surprise Creek ,1956,WYYNP,NA,NA,NA,NA,266,NA
Central Plateau ,1960,WYYNP,NA,NA,NA,NA,307,NA
Clear Creek ,1960,WYYNP,NA,NA,NA,NA,65,NA
Indian Creek ,1960,WYYNP,NA,NA,NA,NA,147,NA
Miller Creek ,1960,WYYNP,NA,NA,NA,NA,113,NA
Madison River ,1961,WYYNP,NA,NA,NA,NA,819,NA
Buffalo Plateau ,1966,WYYNP,NA,NA,NA,NA,70,NA
Otter Creek ,1966,WYYNP,NA,NA,NA,NA,39,NA
ARTIST,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,5/31/1972
C R SOUTH,1972,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/9/1972
C R WEST,1972,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/8/1972
CENTRAL,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/26/1972
CODY,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,8/5/1972
CRAGS,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/19/1972
FIR RIDGE,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/1/1972
GARDNER,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/18/1972
GIBBON,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/7/1972
HEART,1972,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/8/1972
HOT SPRING,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/8/1972
RIBBON,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,5,7/13/1972
ROOSEVELT,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/18/1972
SNAKE,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/11/1972
SPECIMEN,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1972
SUSPENSION,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/1/1972
SWAN,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/2/1972
TERRACE,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/3/1972
TOWER,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1972
VIRGINIA,1972,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/8/1972
WHITE,1972,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/22/1972
WEST ENTRANCE,1973,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,112,8/16/1973
BEAVER PND,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/16/1974
CAMPANULA,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1974
COTTONGRAS,1974,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1,7/6/1974
CRAGS,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/31/1974
DIVIDE LK,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1974
DIVIDE LK2,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/3/1974
DOGSHEAD,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/24/1974
ELK PARK,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1974
ELK POINT,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/3/1974
