IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
TOWER CR,1987,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/14/1987
UNION,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/17/1987
UP PELICAN,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
UPR FLINT,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
UPR RAVEN,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
WATER,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1987
WEASEL,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/10/1987
WOLVERINE,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.5,9/2/1987
WYOMING CR,1987,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,2,8/10/1987
AMETHYST,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/5/1988
BADGER,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/1/1988
BASIN,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,3,7/31/1988
BOUNDARY,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/12/1988
CLOVER,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,25349,7/11/1988
CLOVERMIST,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,121999,7/9/1988
COLONNADE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/28/1988
CONE,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1988
COUGAR,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/23/1988
CRYSTAL,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/12/1988
CUB,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,25,7/30/1988
FACTORY,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,10,7/24/1988
FALLS,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,13071,7/12/1988
FAN,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,11514,7/25/1988
FOREST,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/11/1988
GRIZZLY,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/12/1988
HANCOCK,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1988
HAREBELL,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,26,7/23/1988
HELLROARING,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,,15470,8/15/1988
HUCK,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,,12049,8/20/1988
LAVA,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,70,7/5/1988
LEHARDY,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/2/1988
LEWIS,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/25/1988
MADISON,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,50,8/13/1988
MAPLE,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/25/1988
MILLER,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/5/1988
MINK,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,29848,7/11/1988
MIST,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,3106,7/9/1988
NARROWS,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,2,7/14/1988
NORRIS,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/16/1988
NORTH FORK,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,,410056,7/22/1988
OBSRVATION,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/9/1988
PASSAGE,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/17/1988
PEALE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.5,8/11/1988
PELICAN,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/10/1988
RED,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,16801,7/1/1988
REDSHOSHONE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,22372,6/23/1988
ROSE,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,5/24/1988
SHOSHONE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,23893,6/23/1988
SNAKE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,76498,6/23/1988
SO. MAPLE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.5,7/30/1988
SPRING,1988,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,0.3,7/17/1988
STORMCREEK,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,11666,6/19/1988
TERRACE,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/31/1988
TOWER,1988,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/15/1988
ASTRINGENT,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.3,7/15/1989
BLACKSAND,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/12/1989
BOUNDARY,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,3,7/26/1989
BROADCREEK,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,5,9/5/1989
CLEARCREEK,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/4/1989
CONE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1989
CORRAL,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/31/1989
CRAWFISH,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1989
DIVIDE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,8/1/1989
GLEN,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/25/1989
HOTMIX,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/2/1989
LAKE BUTTE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1989
LEWIS LAKE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/20/1989
LITTLEBUFF,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/10/1989
MOOSE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/23/1989
MUSHPOT,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,7/26/1989
PARKPOINT,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/24/1989
PELICAN,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1989
PHILLIPS,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1989
PIT,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/14/1989
SOLUTION,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/12/1989
SUMMIT,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/23/1989
SWAN LAKE,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/24/1989
WASHBURN,1989,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/15/1989
7 MILE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/11/1990
ALUM,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/1/1990
AMPHITHEA,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/12/1990
ANTELOPE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/12/1990
ASTRINGENT,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/26/1990
BEULA,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/25/1990
BLACKTAIL,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/15/1990
BROAD,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/16/1990
BUFFALO,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/27/1990
BULL,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.3,9/15/1990
BURNT CRK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/19/1990
CODY PEAK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,7,8/10/1990
DALY  CRK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1990
DIVIDE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/13/1990
ELECTRIC,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,7/24/1990
FALLS,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/28/1990
FAN CREEK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,8/8/1990
FIREHOLE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/8/1990
FLAT,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/4/1990
GIBBON,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/2/1990
GRAYLING,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1990
MARY MTN,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/19/1990
MOOSE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/28/1990
OUZEL,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/1/1990
PELICAN,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/13/1990
PHANTOM,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/25/1990
PITCHSTONE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/26/1990
POWERLINE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/11/1990
RED,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/31/1990
RESCUE CRK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/14/1990
SLOUGH,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/14/1990
SPECIMEN,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/23/1990
SPRING CRK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/18/1990
STONETOP,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,15,7/12/1990
SULPHUR,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/26/1990
SYLVAN,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/7/1990
TERRACE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/22/1990
THUNDERER,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/12/1990
UNION,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/27/1990
WASHBURN,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,374,7/5/1990
WEST FORK,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/13/1990
WHITE,1990,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/1/1990
ARTIST,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/9/1991
BEAVER CRK,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/14/1991
BLACKBUTTE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/2/1991
CANYON,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.2,10/17/1991
CRYSTAL,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/20/1991
DIVIDE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/31/1991
DRUID PEAK,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/4/1991
EAST FORK,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/31/1991
FISHING BR,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,10/16/1991
HEDGES,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/7/1991
INSPIRE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/8/1991
JOSEPH,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/2/1991
LAKE BUTTE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/14/1991
LAKE MAINT,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/16/1991
MADISON,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/23/1991
MARY BAY,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/23/1991
MCMINN,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/30/1991
MOSS,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/14/1991
OUZEL CRK,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,7/15/1991
PELICAN,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,322,7/4/1991
PITCHSTONE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/22/1991
RED,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/14/1991
REESE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/1/1991
RIDDLE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/19/1991
ROBINSON,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,8/31/1991
SOLITARY,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/1/1991
STEPHENSCK,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/22/1991
TEPEE,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/19/1991
TURBID,1991,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/14/1991
ASH,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/12/1992
ASTRINGENT,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,9/3/1992
BACON,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/8/1992
BARRONETTE,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/21/1992
BLACK,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/25/1992
BUFFALO,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/29/1992
COLUMBINE,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/1/1992
CONE,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/19/1992
COTTONWOOD,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/21/1992
EAST,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2,8/19/1992
FLINT,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1992
FOX,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/21/1992
GAME,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/21/1992
GIBBON,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,6/12/1992
ICEBOX,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/17/1992
ICELAKE,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/13/1992
LAKE JCT,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/3/1992
MIST,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/3/1992
MUD,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/12/1992
MUSH,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/12/1992
PLATEAU,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,389,9/23/1992
RAVEN,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/19/1992
RED,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/16/1992
SNAKE,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/21/1992
SODA,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/3/1992
SOUTH,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/22/1992
SPRING,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/2/1992
STORM,1992,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1.5,8/9/1992
WHITELAKE,1992,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1.5,7/31/1992
BEACH,1993,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/19/1993
BONEYARD,1993,WYYNP,Suppressed:  Origin on NPS land; not full or limited suppression response,14,Human,A,0.1,7/20/1993
FROG II,1993,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/21/1993
FROG ROCK,1993,WYYNP,Suppressed:  Origin on NPS land; not full or limited suppression response,14,Human,A,0.1,7/2/1993
HELLROARIN,1993,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/7/1993
HOO DOO,1993,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,5/20/1993
L.BUFFALO,1993,WYYNP,Natural Out: Origin on NPS land; protected by NPS,21,Natural,A,0.1,6/6/1993
SLOUGH,1993,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/20/1993
SULPHUR,1993,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/19/1993
WEST,1993,WYYNP,Suppressed:  Origin on NPS land; not full or limited suppression response,14,Human,B,0.5,10/4/1993
ALUM,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,6/18/1994
AMETHYST,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/4/1994
BAGGIE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/24/1994
BEARING,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,10/2/1994
BIRCH,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/29/1994
BOILING,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/29/1994
BRIM,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.2,7/13/1994
BRIMSTONE,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/5/1994
BROAD,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/24/1994
CABIN,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/26/1994
CANYON,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,6/26/1994
CASCADE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,3,8/14/1994
CRAWFISH,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.3,9/11/1994
CREVICE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/28/1994
DECKARD,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,C,37,9/1/1994
EASTGATE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,1/30/1994
EVERTS,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/25/1994
FAIRY,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/24/1994
FALLS,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,2.5,9/4/1994
FERN,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/5/1994
FIRE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/2/1994
FOLSOM,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1994
GARDINER,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/4/1994
GRANT,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/15/1994
GRAYLING,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,8/28/1994
GREBE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/5/1994
GREGG,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/10/1994
HELLROARN,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/2/1994
KEPLER,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/2/1994
LAKE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/2/1994
LITTLE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1994
LONE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/13/1994
LONESTAR,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/9/1994
NORRIS,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/2/1994
PARKS EDGE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,0.5,8/19/1994
PEBBLE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/5/1994
PEBBLE 2,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/10/1994
PELICAN,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,95,8/5/1994
PHANTOM,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/21/1994
PITCHSTONE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/14/1994
PLATEAU,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.3,8/21/1994
RAINBOW,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.5,9/10/1994
RAINBOW 2,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.8,9/11/1994
RANGER,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.2,9/2/1994
RAVEN,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,3648,8/12/1994
ROBINSON,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,9758,9/9/1994
SENTINEL,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,4,9/2/1994
SHOSHONE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,8/27/1994
SNAKE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/4/1994
SPECIMEN,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/4/1994
SPRING,1994,WYYNP,Suppressed: Origin on NPS land; protected other federal agency,11,Natural,B,0.3,7/29/1994
SURPRISE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/8/1994
TELEMARK,1994,WYYNP,Suppressed: Origin on NPS land; protected other federal agency,11,Natural,B,6,8/6/1994
TERN,1994,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,5267,8/6/1994
THUMB,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/7/1994
TREASURE,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/2/1994
UNION,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,0.8,9/10/1994
UNION 2,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/10/1994
UNNAMED,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/5/1994
VALLEY,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/15/1994
WARM,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/25/1994
WHITE CRK,1994,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/29/1994
ASH,1995,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,0.3,8/4/1995
BASIN,1995,WYYNP,Natural Out: Origin on NPS land; protected by NPS,21,Natural,A,0.1,9/7/1995
BEAR,1995,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1.3,8/6/1995
BIGHORN,1995,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/17/1995
BUTTE,1995,WYYNP,Natural Out: Origin on NPS land; protected by NPS,21,Natural,A,0.1,7/11/1995
CASCADE,1995,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/6/1995
COTTONWOOD,1995,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/10/1995
CUB,1995,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/6/1995
